,Name,Category,Category_1,Location,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,Location_2
862,포도술 문래본점,와인,주류,문래,영등포구,예약,4.8,14,영업안함,15000.0,,,10000.0,20000.0,문래
863,블루쇼파스타 연남(Bleuchaud pasta Yeonnam),이탈리아음식,양식,연남,마포구,예약,4.8,56,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
864,비노노,와인,주류,서초,서초구,예약,4.8,11,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서초
865,CMS,"칵테일,위스키",주류,신당,중구,예약,5.0,1,영업안함,15000.0,,,10000.0,20000.0,신당
866,시옹마오,아시아음식,아시아음식,성수,성동구,예약,4.7,117,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
867,노우즈 창덕,브런치,양식,종로,종로구,예약,4.3,97,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,종로
868,삼청각 동백헌,"카페,디저트",카페,성북,성북구,예약,4.9,9,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성북
869,도나르,브런치,양식,이태원,용산구,예약,4.7,90,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,이태원
870,성립,이자카야,일식,망원,마포구,예약,4.9,214,영업안함,15000.0,,,10000.0,20000.0,망원
871,뉴아게,이자카야,일식,압구정로데오,강남구,예약,4.6,4,영업안함,15000.0,,,10000.0,20000.0,압구정로데오
872,핫쵸 성수,일식,일식,서울숲,성동구,예약,4.6,440,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울숲
873,소월,와인,주류,삼각지,용산구,예약,4.7,8,영업안함,15000.0,,,10000.0,20000.0,삼각지
874,솔직한우 옥수점,소고기구이,한식,옥수,성동구,예약,4.8,49,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,옥수
875,스몰치즈박스,와인,주류,가로수길,강남구,예약,4.7,8,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,가로수길
876,서가앤쿡 합정점,이탈리아음식,양식,합정,마포구,예약,4.4,16,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,합정
877,계옥정,"닭,오리요리",한식,영등포,영등포구,예약,4.4,69,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,영등포
878,호갱,유러피안음식,양식,왕십리,성동구,예약,4.8,19,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,왕십리/상왕십리
879,을지로골목집 신용산점,한식,한식,신용산,용산구,예약,4.5,38,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신용산/이촌
880,꿉당 신사,돼지고기구이,한식,신사,강남구,예약,4.4,485,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신사
881,정숙성,돼지고기구이,한식,서울대입구,관악구,예약,4.8,154,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울대입구
882,원나잇,요리주점,주류,홍대,마포구,예약,4.9,7,영업안함,15000.0,,,10000.0,20000.0,홍대
883,딩딤1968 신사가로수길 한국본점,중식,중식,가로수길,강남구,예약,4.2,32,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,가로수길
884,소소막창 한남본점,"곱창,막창",한식,한남,용산구,예약,4.2,70,영업안함,15000.0,,,10000.0,20000.0,한남
885,헤키,일식,일식,망원,마포구,예약,4.8,1059,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,망원
886,시나모롤스위트카페,"카페,디저트",카페,홍대,마포구,예약,3.9,1478,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,홍대
887,호텔 카푸치노 루프탑바,양식,양식,논현,강남구,예약,4.0,13,영업안함,15000.0,,,10000.0,20000.0,논현
888,후라토식당 성수점,일식,일식,성수,성동구,예약,4.4,3,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
889,유가소점,이자카야,일식,용산,용산구,예약,4.8,62,영업안함,15000.0,,,10000.0,20000.0,용산
890,대봉집 신사본점,돼지고기구이,한식,가로수길,강남구,예약,4.3,11,영업안함,15000.0,,,10000.0,20000.0,가로수길
891,효자동목고기 성수역점,돼지고기구이,한식,성수,성동구,예약,4.0,4,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
892,더크다이브,일식,일식,신용산,용산구,예약,4.6,210,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신용산/이촌
893,신사동인동언주점,한식,한식,논현,강남구,예약,4.7,2,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,논현
894,쿤시,이자카야,일식,군자,광진구,예약,4.8,31,영업안함,15000.0,,,10000.0,20000.0,군자
895,연남토마 북촌점,퓨전음식,퓨전,북촌,종로구,예약,4.4,96,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,북촌
896,연남토마 본점,퓨전음식,퓨전,연남,마포구,예약,4.8,98,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
897,연남토마 성수점,퓨전음식,퓨전,서울숲,성동구,예약,4.5,36,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울숲
898,82올리언즈 을지로점,아메리칸음식,양식,을지로,중구,예약,4.5,157,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,을지로
899,박쉡,파스타,양식,신촌,서대문구,예약,4.9,114,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신촌
900,장독계 홍대점,"닭,오리요리",한식,합정,마포구,예약,4.9,50,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,합정
901,포도술 종로3가점,와인,주류,종로,종로구,예약,5.0,14,영업안함,15000.0,,,10000.0,20000.0,종로
902,C의집,와인,주류,충무로,중구,예약,4.8,20,영업안함,15000.0,,,10000.0,20000.0,충무로
903,경주이씨,전통주,주류,성수,성동구,예약,4.5,79,영업안함,15000.0,,,10000.0,20000.0,성수
904,오아시스 망원,와인,주류,망원,마포구,예약,4.9,19,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,망원
905,우와 홍대본점,일식,일식,홍대,마포구,예약,4.6,527,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,홍대
906,후라토식당 이수역점,일식,일식,이수,동작구,예약,4.0,6,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,이수
907,연남한양집,요리주점,주류,연남,마포구,예약,4.9,132,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
908,혜화동버거,아메리칸음식,양식,대학로,종로구,예약,4.1,14,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,혜화
909,사계절,돼지고기구이,한식,건대,광진구,예약,4.8,9,가격변동,15000.0,,,10000.0,20000.0,건대
910,버드맨,"칵테일,위스키",주류,가로수길,강남구,예약,4.7,9,영업안함,15000.0,,,10000.0,20000.0,가로수길
911,노멀브런치,브런치,양식,해방촌,용산구,예약,4.8,160,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,해방촌
912,콸콸,양식,양식,을지로,중구,예약,4.7,119,영업안함,15000.0,,,10000.0,20000.0,을지로
913,1999codonbur 코돈부르,일식,일식,상수,마포구,예약,4.9,57,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,상수
914,사우스사이드 팔러 (Southside Parlor),멕시코음식,양식,이태원,용산구,예약,4.5,14,영업안함,15000.0,,,10000.0,20000.0,이태원
915,완주,한식,한식,마곡,강서구,예약,4.8,11,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,마곡
916,대팔이네 곱창,"곱창,막창",한식,천호,강동구,예약,4.7,50,영업안함,15000.0,,,10000.0,20000.0,천호
917,쯔루하시 후게츠 명동점,일식,일식,명동,중구,예약,4.5,928,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,명동
918,고깃세 홍대직영점,"육류,고기요리",한식,상수,마포구,예약,5.0,5,영업안함,15000.0,,,10000.0,20000.0,상수
919,AMP,"칵테일,위스키",주류,성수,성동구,예약,4.4,2,영업안함,15000.0,,,10000.0,20000.0,성수
920,바비,브런치,양식,서울역,성동구,예약,4.3,8,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울역
921,인생돼지 송파본점,돼지고기구이,한식,문정,송파구,예약,4.9,9,영업안함,15000.0,,,10000.0,20000.0,문정
922,필인유어블랭크,"칵테일,위스키",주류,신촌,서대문구,예약,5.0,3,영업안함,15000.0,,,10000.0,20000.0,신촌
923,쏘티,와인,주류,성수,성동구,예약,4.8,132,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
924,날리,양식,양식,가로수길,강남구,예약,4.5,104,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,가로수길
925,미육탄,일식,일식,성수,성동구,예약,4.7,18,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
926,코멘터리사운드,와인,주류,망원,마포구,예약,4.9,54,영업안함,15000.0,,,10000.0,20000.0,망원
927,파인드한남,양식,양식,한남,용산구,예약,4.6,16,영업안함,15000.0,,,10000.0,20000.0,한남
928,리틀포레스트 카페&델리,브런치,양식,약수,중구,예약,4.1,13,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,약수
929,성수명당,일식,일식,성수,성동구,예약,4.3,30,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
930,로바타우직,이자카야,일식,망원,마포구,예약,4.8,44,영업안함,15000.0,,,10000.0,20000.0,망원
931,모두스 테이블 문정,이탈리아음식,양식,문정,송파구,예약,4.7,9,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,문정
932,청도미나리식당 동대문점,샤브샤브,한식,동대문,동대문구,예약,4.1,19,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,동대문
933,산도스 성수 (SANDOS),브런치,양식,서울숲,성동구,예약,4.9,173,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울숲
934,치티,파스타,양식,성신여대,성북구,예약,4.9,48,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성신여대
935,Iron Case,중식,중식,압구정로데오,강남구,예약,4.9,22,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,압구정로데오
936,임피아또,이탈리아음식,양식,마곡,강서구,예약,4.8,120,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,마곡
937,효뜨 강남점,베트남음식,아시아음식,강남,강남구,예약,4.4,34,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,강남
938,마차이 방이점,중식,중식,방이,송파구,예약,4.8,10,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,방이
939,봉비방 BVV,프랑스음식,양식,이태원,용산구,예약,4.8,110,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,이태원
940,TACO URUAPAN,멕시코음식,양식,용산,용산구,예약,4.8,17,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,용산
941,쉐이크쉑 청담점,아메리칸음식,양식,청담,강남구,예약,5.0,1,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,청담
942,호우키,이자카야,일식,성수,성동구,예약,4.7,29,영업안함,15000.0,,,10000.0,20000.0,성수
943,방돈식당,돼지고기구이,한식,여의도,영등포구,예약,4.8,62,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,여의도
944,강진숯불갈비,돼지고기구이,한식,성수,성동구,예약,4.9,28,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
945,더백테라스,아메리칸음식,양식,신용산,용산구,예약,4.0,10,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신용산/이촌
946,누와,한식,한식,마포,마포구,예약,4.8,6,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,마포
947,초이다이닝 샤로수길점,일식,일식,샤로수길,관악구,예약,4.3,7,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,샤로수길
948,소쿠리촌 청담,돼지고기구이,한식,청담,강남구,예약,4.4,19,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,청담
949,청도미나리식당 선릉점,"닭,오리요리",한식,선릉,강남구,예약,4.6,44,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,선릉/선정릉
950,서빙고식당,한식,한식,용산,용산구,예약,4.7,5,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,용산
951,구이정,돼지고기구이,한식,반포,서초구,예약,4.6,26,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,반포
952,센몬텐,일식,일식,마곡,강서구,예약,5.0,2,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,마곡
953,왕초바베큐 왕십리 본점,바베큐,양식,왕십리,성동구,예약,4.0,1,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,왕십리/상왕십리
954,을지다락 강남,파스타,양식,강남,강남구,예약,4.4,88,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,강남
955,금쪽,돼지고기구이,한식,공릉,노원구,예약,4.9,33,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,공릉
956,한가로이,한식,한식,여의도,영등포구,예약,4.2,2,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,여의도
957,나무솥밥 경리단점,한식,한식,경리단길,용산구,예약,4.5,331,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,경리단길
958,그리고문래,요리주점,주류,문래,영등포구,예약,4.8,41,영업안함,15000.0,,,10000.0,20000.0,문래
959,어글라스오브,와인,주류,해방촌,용산구,예약,4.8,9,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,해방촌
960,오준이네감자탕 신용산점,한식,한식,신용산,용산구,예약,4.1,280,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신용산/이촌
961,성수 사위식당,한식,한식,성수,성동구,예약,4.8,6,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
962,2day,"칵테일,위스키",주류,샤로수길,관악구,예약,4.4,2,영업안함,15000.0,,,10000.0,20000.0,샤로수길
963,바통 (Bâton meal cafe),브런치,양식,용산,용산구,예약,4.1,32,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,용산
964,103호심야식당,중식,중식,영등포,영등포구,예약,4.7,6,영업안함,15000.0,,,10000.0,20000.0,영등포
965,리애 프리미엄 올림픽공원직영점,돈가스,한식,성내,강동구,예약,4.5,27,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성내
966,리애,돈가스,한식,개포,강남구,예약,4.5,118,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,도곡
967,사위식당 공덕점,한식,한식,공덕,마포구,예약,4.7,2,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,공덕
968,피제리아 호키포키 광화문점,피자,양식,광화문,종로구,예약,4.7,82,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,광화문
969,르브리에,브런치,양식,잠실,송파구,예약,4.6,37,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,잠실
970,로제드미네,와인,주류,연남,마포구,예약,4.9,26,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
971,을지다락 가로수길,파스타,양식,가로수길,강남구,예약,4.5,25,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,가로수길
972,을지다락 도산공원,파스타,양식,도산공원,강남구,예약,4.6,25,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,도산공원
973,당산오돌 잠실신천점,"육류,고기요리",한식,잠실새내,송파구,예약,5.0,2,영업안함,15000.0,,,10000.0,20000.0,잠실새내
974,뉴서울식당 잠실방이본점,돼지고기구이,한식,방이,송파구,예약,4.5,4,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,방이
975,월계앙꼬,"칵테일,위스키",주류,월계,노원구,예약,4.7,3,영업안함,15000.0,,,10000.0,20000.0,월계
976,수산회관,"해물,생선요리",한식,노량진,동작구,예약,4.7,8,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,노량진
977,운치,이탈리아음식,양식,안암,성북구,예약,4.8,94,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,안암
978,부스 서울,와인,주류,을지로,중구,예약,4.9,9,영업안함,15000.0,,,10000.0,20000.0,을지로
979,피제리아 호키포키,피자,양식,서초,서초구,예약,4.5,25,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서초
980,식당오늘,한식,한식,가산디지털단지,금천구,예약,5.0,1,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,가산디지털단지
981,슈퍼노바,와인,주류,합정,마포구,예약,5.0,11,영업안함,15000.0,,,10000.0,20000.0,합정
